FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
268454,Cafe W At Waterstones,Restaurant/Cafe/Canteen,"William Baker House, Broad Street, Oxford",OX1 3AF,0,0,0
268716,Caffe Nero,Restaurant/Cafe/Canteen,"14 High Street, Oxford, Oxfordshire",OX1 4DB,5,5,0
268453,Caffe Nero,Restaurant/Cafe/Canteen,"48-51 Broad Street, Oxford, Oxfordshire",OX1 3BT,0,0,0
1772501,Caffe Nero,Restaurant/Cafe/Canteen,"9 High Street, Oxford, Oxfordshire",OX1 4DB,0,0,0
1355195,Caffe Nero,Restaurant/Cafe/Canteen,"91 Gloucester Green, Oxford, Oxfordshire",OX1 2BU,0,5,5
1292324,Cagney's,Restaurant/Cafe/Canteen,"21 Upper Barr, Oxford, Oxfordshire",OX4 3UX,10,10,5
1775582,Canton 3 Restaurant,Restaurant/Cafe/Canteen,"22 New Inn Hall Street, Oxford, Oxfordshire",OX1 2DW,10,5,20
737369,Caramba Cafe At The Oxford English Centre,Restaurant/Cafe/Canteen,"Wolsey Hall, 66 Banbury Road, Oxford",OX2 6PR,10,10,10
1800548,Chama Cuisine,Restaurant/Cafe/Canteen,"Templars Bar And Cafe, Barns Road, Oxford",OX4 3UX,N/A,N/A,N/A
1590774,Charm Cafe,Restaurant/Cafe/Canteen,"Cafe, Parade Green, James Wolfe Road",OX4 2WP,0,0,0
1666233,Chaska House,Restaurant/Cafe/Canteen,"5 Golden Cross, Oxford, Oxfordshire",OX1 3EU,0,5,0
737370,Chatime,Restaurant/Cafe/Canteen,"6 Gloucester Street, Oxford, Oxfordshire",OX1 2BN,0,0,0
268395,Cherwell Boathouse Restaurant,Restaurant/Cafe/Canteen,"Cherwell Boat House, 50 Bardwell Road, Oxford",OX2 6ST,0,0,0
268728,Chiang Mai Kitchen,Restaurant/Cafe/Canteen,"130A High Street, Oxford, Oxfordshire",OX1 4DH,0,0,0
1623888,Chick Pea,Restaurant/Cafe/Canteen,"2 King Edward Street, Oxford, Oxfordshire",OX1 4HS,0,15,10
269386,Chutneys Indian Brasserie,Restaurant/Cafe/Canteen,"36 St Michael's Street, Oxford, Oxfordshire",OX1 2EB,5,10,5
1796655,Clifftop Café At Gallery Bouldering,Restaurant/Cafe/Canteen,"The Gallery, 54 Marston Street, Oxford",OX4 1LF,N/A,N/A,N/A
