FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1524688,Oxon Groceries,Retailers - other,"144 London Road, Headington, Oxford",OX3 9EB,5,0,5
1676294,OxUnBoxed,Retailers - other,"137 - 141 Covered Market, Market Street, Oxford",OX1 3DZ,N/A,N/A,N/A
1738496,Peter Durham And Daughters Ltd,Retailers - other,"Unit 2, The Chiltern Business Centre, 198 Garsington Road",OX4 6NG,N/A,N/A,N/A
955351,Phoenix Picture House,Retailers - other,"Phoenix Cinema, 57 - 58 Walton Street, Oxford",OX2 6AE,0,10,5
1691272,Polish Shop Littlemore Ltd,Retailers - other,"34 Cowley Road, Littlemore, Oxford",OX4 4LD,0,0,0
268916,Polish Specialities,Retailers - other,"81 Wilkins Road, Oxford, Oxfordshire",OX4 2JB,5,5,5
268885,Premier Turna Supermarket,Retailers - other,"24 - 25 The Oval, Oxford, Oxfordshire",OX4 4SE,15,0,10
268566,Risinghurst Post Office,Retailers - other,"46 Downside Road, Oxford, Oxfordshire",OX3 8HR,5,5,5
1616666,Romania Express Ltd,Retailers - other,"136A Oxford Road, Cowley, Oxford",OX4 2DU,5,5,5
1775579,Rose Hill Community Larder,Retailers - other,"Rose Hill Community Centre, Carole's Way, Oxford",OX4 4HF,0,0,0
269399,Rosehill Newsagents,Retailers - other,"23 The Oval, Oxford, Oxfordshire",OX4 4SE,N/A,N/A,N/A
269469,Rosies,Retailers - other,"49-51 Westlands Drive, Oxford, Oxfordshire",OX3 9QS,5,0,10
268712,Sainsbury's Petrol Station,Retailers - other,"Sainsburys Petrol Station, Heyford Hill, Oxford",OX4 4XR,0,0,0
1782653,Sainsburys Supermarkets Ltd,Retailers - other,"Royal Oxford Hotel, Park End Street, Oxford",OX1 1HR,N/A,N/A,N/A
1635463,Sainsbury's Supermarkets Ltd,Retailers - other,"67C Walton Street, Oxford, Oxfordshire",OX2 6AG,0,0,0
1437904,Salon Services Ltd,Retailers - other,"3 Nuffield Industrial Estate, Ledgers Close, Oxford",OX4 6JS,N/A,N/A,N/A
268771,Sanghera Supermarket Limited (Spar),Retailers - other,"10 - 12 Underhill Circus, Oxford, Oxfordshire",OX3 9LU,0,5,0
1761256,Seoul Plaza,Retailers - other,"18 - 19 Cornmarket Street, Oxford, Oxfordshire",OX1 3EY,20,15,20
1011203,Shake Lab,Retailers - other,"203 The Westgate, Queen Street, Oxford",OX1 1PE,0,0,0
1569040,Shell Cowley,Retailers - other,"Cowley Service Station, 44 - 48 Garsington Road, Oxford",OX4 2LG,0,5,0
1790850,SHELL LITTLE WAITROSE HEADINGTON,Retailers - other,"Shell Petrol Station, London Road, Headington",OX3 7RD,0,0,0
1368080,SkinDose,Retailers - other,"57 Woodstock Road, Oxford, Oxfordshire",OX2 6HJ,N/A,N/A,N/A
1223611,Souya Supermarket,Retailers - other,"132 Cowley Road, Oxford, Oxfordshire",OX4 1JE,0,0,0
1065519,Spar,Retailers - other,"Leys Spar Limited, Dunnock Way, Oxford",OX4 7EX,5,5,5
1706766,Sports Direct,Retailers - other,"Unit 6, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,N/A,N/A,N/A
1743481,Sushi Daily (in Waitrose),Retailers - other,"9 - 11 Old High Street, Oxford, Oxfordshire",OX3 9HP,0,0,0
977895,Sushi Gourmet,Retailers - other,"J Sainsbury PLC, Heyford Hill, Oxford",OX4 4XR,0,5,0
1042843,T R Stores,Retailers - other,"53 St Nicholas Road, Oxford, Oxfordshire",OX4 4PN,0,5,0
1378244,Tahmid Store,Retailers - other,"53 Cowley Road, Oxford, Oxfordshire",OX4 1HP,5,5,10
1698844,The Bingo Club,Retailers - other,"The Pavilion, Cuddesdon Way, Oxford",OX4 6EU,0,0,0
854389,The Deli,Retailers - other,"254 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,5,5
268849,The Grog Shop,Retailers - other,"13 Kingston Road, Oxford, Oxfordshire",OX2 6EF,5,0,5
679551,The Oxford Shop,Retailers - other,"42 George Street, Oxford, Oxfordshire",OX1 2AQ,N/A,N/A,N/A
1557630,The Oxford Wine Company Limited,Retailers - other,"6 Turl Street, Oxford, Oxfordshire",OX1 3DQ,N/A,N/A,N/A
1567231,The Oxford Wine Company Limited,Retailers - other,"7 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HP,N/A,N/A,N/A
268786,The Whisky Shop,Retailers - other,"Shop, 7 Turl Street, Oxford",OX1 3DQ,N/A,N/A,N/A
1567226,Thejus Foods,Retailers - other,"61 Westlands Drive, Oxford, Oxfordshire",OX3 9QS,0,0,5
269485,Thong Heng,Retailers - other,"6 The Parade, Windmill Road, Oxford",OX3 7BL,5,0,5
268753,Tuck Shop,Retailers - other,"39 Holywell Street, Oxford, Oxfordshire",OX1 3SB,0,15,20
1584154,Turna Beer And Wine,Retailers - other,"3 Atkyns Road, Oxford, Oxfordshire",OX3 8RA,5,10,10
268396,Turner News,Retailers - other,"39 Barns Road, Oxford, Oxfordshire",OX4 3QY,0,0,5
268502,Uhuru Wholefoods,Retailers - other,"48 Cowley Road, Oxford, Oxfordshire",OX4 1HZ,0,0,0
958706,Ultimate Picture Palace,Retailers - other,"Jeune Street, Oxford, Oxfordshire",OX4 1BN,0,0,0
850278,Uni Food And Wine,Retailers - other,"19 Park End Street, Oxford, Oxfordshire",OX1 1HU,5,15,20
1268494,Up And Running,Retailers - other,"106 London Road, Headington, Oxford",OX3 9AJ,N/A,N/A,N/A
269538,Vue,Retailers - other,"Vue Cinema, Ozone Leisure Park, Grenoble Road",OX4 4XP,0,0,0
1205754,W H Smith,Retailers - other,"John Radcliffe Hospital, Headley Way, Oxford",OX3 9DU,0,0,0
717014,Waitrose,Retailers - other,"Headington Filling Station, London Road, Headington",OX3 7RD,0,0,0
269432,Walton Stationers,Retailers - other,"Walton Street Post Office, 36 Walton Street, Oxford",OX2 6AD,N/A,N/A,N/A
268978,Wasims Regency Stores,Retailers - other,"157 Magdalen Road, Oxford, Oxfordshire",OX4 1RN,0,0,10
1332210,Welcome Break Forecourt,Retailers - other,"Welcome Break Peartree Roundabout, Woodstock Road, Oxford",OX2 8JZ,0,5,5
770790,WH Smith,Retailers - other,"John Radcliffe Hospital, Headley Way, Oxford",OX3 9DU,0,0,0
