FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
268529,The Library,Pub/bar/nightclub,"182 Cowley Road, Oxford, Oxfordshire",OX4 1UE,0,0,0
777807,The Lighthouse,Pub/bar/nightclub,"Lighthouse, 1 Park End Street, Oxford",OX1 1HH,5,5,5
974649,The Mad Hatter,Pub/bar/nightclub,"The Cricketers Arms, 43 Iffley Road, Oxford",OX4 1EA,0,0,0
1642988,The Market Tap,Pub/bar/nightclub,"60 - 62 Covered Market, Market Street, Oxford",OX1 3DX,0,0,0
1738499,The Medley,Pub/bar/nightclub,"Medley Manor Farm, Binsey Lane, Oxford",OX2 0NJ,0,0,0
269429,The Old Bookbinder's Ale House,Pub/bar/nightclub,"The Bookbinders Arms, 17-18 Victor Street, Oxford",OX2 6BT,0,0,0
269312,The Old Tom,Pub/bar/nightclub,"101 St Aldate's, Oxford, Oxfordshire",OX1 1BT,5,5,5
1794041,The Oranges And Lemons,Pub/bar/nightclub,"The Angel And Greyhound Public House, 30 St Clement's Street, Oxford",OX4 1AB,0,0,0
269131,The Original Swan,Pub/bar/nightclub,"188 Oxford Road, Cowley, Oxford",OX4 2LF,0,0,0
989695,The Oxford Retreat,Pub/bar/nightclub,"1-2 Hythe Bridge Street, Oxford, Oxfordshire",OX1 2TA,5,5,0
268601,The Oxford Union,Pub/bar/nightclub,"Frewin Court, Oxford, Oxfordshire",OX1 3JB,0,5,0
1318883,The OXO Bar,Pub/bar/nightclub,"Eurobar, 48 George Street, Oxford",OX1 2AQ,5,5,10
269488,The Plough,Pub/bar/nightclub,"37 First Turn, Oxford, Oxfordshire",OX2 8AH,5,5,5
1688272,The Plough Inn,Pub/bar/nightclub,"38 Cornmarket Street, Oxford, Oxfordshire",OX1 3HA,0,5,5
1751070,"The Port Mahon, Beer And Burger Store, The Athenian",Pub/bar/nightclub,"Port Mahon Public House, 82 St Clement's Street, Oxford",OX4 1AW,0,5,5
997130,The Porterhouse Grill And Rooms,Pub/bar/nightclub,"Kite Inn, 68-69 Mill Street, Oxford",OX2 0AL,0,5,0
1576849,The Prince Of Wales,Pub/bar/nightclub,"Prince Of Wales, 71 Horspath Road, Oxford",OX4 2QW,0,0,0
268410,The Punter,Pub/bar/nightclub,"7 South Street, Oxford, Oxfordshire",OX2 0BE,0,5,0
268652,The Red Lion,Pub/bar/nightclub,"14 Gloucester Street, Oxford, Oxfordshire",OX1 2BN,0,10,0
269052,The Red Lion,Pub/bar/nightclub,"40-42 Oxford Road, Old Marston, Oxford",OX3 0PH,5,0,0
268548,The Rickety Press,Pub/bar/nightclub,"67 Cranham Street, Oxford, Oxfordshire",OX2 6DS,5,5,5
